ordre,x0,x1,y0,etat,solution,chemin_solution,no,no_parent,a,b,c,n,rest,rest2,nombre,x,y,ID_RESOLUTION,a2,b2
1,5,,1,2,0,0,31,23,1,,0,1,5,5,15,5,1,10108,7,
1,5,,1,2,0,0,32,23,1,,0,1,5,5,15,5,1,10109,8,
1,5,,1,2,0,0,33,23,1,,0,1,5,5,15,5,1,10110,9,
0,,,,0,0,1,34,,,,0,5,1,0,15,0,0,10054,5,3
1,5,,3,1,1,1,35,34,3,,0,1,15,15,15,5,3,10101,0,
1,5,,3,2,0,0,36,34,3,,0,1,15,15,15,5,3,10102,1,
1,5,,3,2,0,0,37,34,3,,0,1,15,15,15,5,3,10103,2,
1,5,,3,2,0,0,38,34,3,,0,1,15,15,15,5,3,10104,3,
1,5,,3,2,0,0,39,34,3,,0,1,15,15,15,5,3,10105,4,
1,5,,3,2,0,0,40,34,3,,0,1,15,15,15,5,3,10106,5,
1,5,,3,2,0,0,41,34,3,,0,1,15,15,15,5,3,10107,6,
1,5,,3,2,0,0,42,34,3,,0,1,15,15,15,5,3,10108,7,
1,5,,3,2,0,0,43,34,3,,0,1,15,15,15,5,3,10109,8,
1,5,,3,2,0,0,44,34,3,,0,1,15,15,15,5,3,10110,9,
0,,,,0,0,0,45,,,,0,5,1,0,15,0,0,10056,5,5
1,5,,5,2,0,0,46,45,5,,0,1,25,25,15,5,5,10101,0,
1,5,,5,2,0,0,47,45,5,,0,1,25,25,15,5,5,10102,1,
1,5,,5,2,0,0,48,45,5,,0,1,25,25,15,5,5,10103,2,
1,5,,5,2,0,0,49,45,5,,0,1,25,25,15,5,5,10104,3,
1,5,,5,2,0,0,50,45,5,,0,1,25,25,15,5,5,10105,4,
1,5,,5,2,0,0,51,45,5,,0,1,25,25,15,5,5,10106,5,
1,5,,5,2,0,0,52,45,5,,0,1,25,25,15,5,5,10107,6,
1,5,,5,2,0,0,53,45,5,,0,1,25,25,15,5,5,10108,7,
1,5,,5,2,0,0,54,45,5,,0,1,25,25,15,5,5,10109,8,
1,5,,5,2,0,0,55,45,5,,0,1,25,25,15,5,5,10110,9,
0,,,,0,0,0,56,,,,0,5,1,0,15,0,0,10058,5,7
1,5,,7,2,0,0,57,56,7,,0,1,35,35,15,5,7,10101,0,
1,5,,7,2,0,0,58,56,7,,0,1,35,35,15,5,7,10102,1,
1,5,,7,2,0,0,59,56,7,,0,1,35,35,15,5,7,10103,2,
1,5,,7,2,0,0,60,56,7,,0,1,35,35,15,5,7,10104,3,
1,5,,7,2,0,0,61,56,7,,0,1,35,35,15,5,7,10105,4,
1,5,,7,2,0,0,62,56,7,,0,1,35,35,15,5,7,10106,5,
1,5,,7,2,0,0,63,56,7,,0,1,35,35,15,5,7,10107,6,
1,5,,7,2,0,0,64,56,7,,0,1,35,35,15,5,7,10108,7,
1,5,,7,2,0,0,65,56,7,,0,1,35,35,15,5,7,10109,8,
1,5,,7,2,0,0,66,56,7,,0,1,35,35,15,5,7,10110,9,
0,,,,0,0,0,67,,,,0,5,1,0,15,0,0,10060,5,9
1,5,,9,2,0,0,68,67,9,,0,1,45,45,15,5,9,10101,0,
1,5,,9,2,0,0,69,67,9,,0,1,45,45,15,5,9,10102,1,
1,5,,9,2,0,0,70,67,9,,0,1,45,45,15,5,9,10103,2,
1,5,,9,2,0,0,71,67,9,,0,1,45,45,15,5,9,10104,3,
1,5,,9,2,0,0,72,67,9,,0,1,45,45,15,5,9,10105,4,
1,5,,9,2,0,0,73,67,9,,0,1,45,45,15,5,9,10106,5,
1,5,,9,2,0,0,74,67,9,,0,1,45,45,15,5,9,10107,6,
1,5,,9,2,0,0,75,67,9,,0,1,45,45,15,5,9,10108,7,
1,5,,9,2,0,0,76,67,9,,0,1,45,45,15,5,9,10109,8,
1,5,,9,2,0,0,77,67,9,,0,1,45,45,15,5,9,10110,9,
0,,,,0,0,0,78,,,,0,5,1,0,15,0,0,10076,7,5
