ordre,x0,x1,x2,x3,y0,y1,etat,solution,chemin_solution,no,no_parent,a,b,c,n,rest,rest2
3,1,9,1,,9,9,2,0,0,193,191,9,,,9,9909,99
3,1,9,2,,9,9,2,0,0,194,191,9,,,9,10809,108
3,1,9,3,,9,9,2,0,0,195,191,9,,,9,11709,117
3,1,9,4,,9,9,2,0,0,196,191,9,,,9,12609,126
3,1,9,5,,9,9,2,0,0,197,191,9,,,9,13509,135
3,1,9,6,,9,9,0,0,0,198,191,9,,,9,14409,144
4,1,9,6,0,9,9,2,0,0,199,198,,,,0,68409,68
4,1,9,6,1,9,9,2,0,0,200,198,,,,0,77409,77
4,1,9,6,2,9,9,2,0,0,201,198,,,,0,86409,86
4,1,9,6,3,9,9,2,0,0,202,198,,,,0,95409,95
4,1,9,6,4,9,9,2,0,0,203,198,,,,0,104409,104
4,1,9,6,5,9,9,2,0,0,204,198,,,,0,113409,113
4,1,9,6,6,9,9,2,0,0,205,198,,,,0,122409,122
4,1,9,6,7,9,9,2,0,0,206,198,,,,0,131409,131
4,1,9,6,8,9,9,2,0,0,207,198,,,,0,140409,140
4,1,9,6,9,9,9,2,0,0,208,198,,,,0,149409,149
3,1,9,7,,9,9,2,0,0,209,191,9,,,9,15309,153
3,1,9,8,,9,9,2,0,0,210,191,9,,,9,16209,162
3,1,9,9,,9,9,2,0,0,211,191,9,,,9,17109,171
1,3,,,,3,,0,0,0,212,,3,3,3,0,9,9
2,3,0,,,3,0,0,0,0,213,212,3,,,4,9,0
3,3,0,0,,3,0,2,0,0,214,213,3,,,9,9,0
3,3,0,1,,3,0,2,0,0,215,213,3,,,9,309,3
3,3,0,2,,3,0,2,0,0,216,213,3,,,9,609,6
3,3,0,3,,3,0,2,0,0,217,213,3,,,9,909,9
3,3,0,4,,3,0,2,0,0,218,213,3,,,9,1209,12
3,3,0,5,,3,0,2,0,0,219,213,3,,,9,1509,15
3,3,0,6,,3,0,2,0,0,220,213,3,,,9,1809,18
3,3,0,7,,3,0,2,0,0,221,213,3,,,9,2109,21
3,3,0,8,,3,0,0,0,0,222,213,3,,,9,2409,24
4,3,0,8,0,3,0,2,0,0,223,222,,,,0,2409,2
4,3,0,8,1,3,0,2,0,0,224,222,,,,0,5409,5
4,3,0,8,2,3,0,2,0,0,225,222,,,,0,8409,8
4,3,0,8,3,3,0,2,0,0,226,222,,,,0,11409,11
4,3,0,8,4,3,0,2,0,0,227,222,,,,0,14409,14
4,3,0,8,5,3,0,2,0,0,228,222,,,,0,17409,17
4,3,0,8,6,3,0,2,0,0,229,222,,,,0,20409,20
4,3,0,8,7,3,0,2,0,0,230,222,,,,0,23409,23
4,3,0,8,8,3,0,2,0,0,231,222,,,,0,26409,26
4,3,0,8,9,3,0,2,0,0,232,222,,,,0,29409,29
3,3,0,9,,3,0,2,0,0,233,213,3,,,9,2709,27
2,3,9,,,3,1,0,0,0,234,212,3,,,4,309,30
3,3,9,0,,3,1,2,0,0,235,234,3,,,9,1209,12
3,3,9,1,,3,1,2,0,0,236,234,3,,,9,1509,15
3,3,9,2,,3,1,2,0,0,237,234,3,,,9,1809,18
3,3,9,3,,3,1,2,0,0,238,234,3,,,9,2109,21
3,3,9,4,,3,1,0,0,0,239,234,3,,,9,2409,24
4,3,9,4,0,3,1,2,0,0,240,239,,,,0,6409,6
4,3,9,4,1,3,1,2,0,0,241,239,,,,0,9409,9
4,3,9,4,2,3,1,2,0,0,242,239,,,,0,12409,12
4,3,9,4,3,3,1,2,0,0,243,239,,,,0,15409,15
4,3,9,4,4,3,1,2,0,0,244,239,,,,0,18409,18
4,3,9,4,5,3,1,2,0,0,245,239,,,,0,21409,21
4,3,9,4,6,3,1,2,0,0,246,239,,,,0,24409,24
4,3,9,4,7,3,1,2,0,0,247,239,,,,0,27409,27
4,3,9,4,8,3,1,2,0,0,248,239,,,,0,30409,30
4,3,9,4,9,3,1,2,0,0,249,239,,,,0,33409,33
3,3,9,5,,3,1,2,0,0,250,234,3,,,9,2709,27
3,3,9,6,,3,1,2,0,0,251,234,3,,,9,3009,30
3,3,9,7,,3,1,2,0,0,252,234,3,,,9,3309,33
3,3,9,8,,3,1,2,0,0,253,234,3,,,9,3609,36
3,3,9,9,,3,1,2,0,0,254,234,3,,,9,3909,39
2,3,8,,,3,2,0,0,0,255,212,3,,,4,309,30
3,3,8,0,,3,2,2,0,0,256,255,3,,,9,1909,19
3,3,8,1,,3,2,2,0,0,257,255,3,,,9,2209,22
3,3,8,2,,3,2,2,0,0,258,255,3,,,9,2509,25
3,3,8,3,,3,2,2,0,0,259,255,3,,,9,2809,28
3,3,8,4,,3,2,2,0,0,260,255,3,,,9,3109,31
3,3,8,5,,3,2,0,0,0,261,255,3,,,9,3409,34
4,3,8,5,0,3,2,2,0,0,262,261,,,,0,13409,13
4,3,8,5,1,3,2,2,0,0,263,261,,,,0,16409,16
4,3,8,5,2,3,2,2,0,0,264,261,,,,0,19409,19
4,3,8,5,3,3,2,2,0,0,265,261,,,,0,22409,22
4,3,8,5,4,3,2,2,0,0,266,261,,,,0,25409,25
4,3,8,5,5,3,2,2,0,0,267,261,,,,0,28409,28
4,3,8,5,6,3,2,2,0,0,268,261,,,,0,31409,31
4,3,8,5,7,3,2,2,0,0,269,261,,,,0,34409,34
4,3,8,5,8,3,2,2,0,0,270,261,,,,0,37409,37
4,3,8,5,9,3,2,2,0,0,271,261,,,,0,40409,40
3,3,8,6,,3,2,2,0,0,272,255,3,,,9,3709,37
