ordre,x0,x1,x2,x3,x4,y0,y1,y2,etat,solution,chemin_solution,no,no_parent,a,b,c,n,rest,rest2,nombre,x,y,ID_RESOLUTION,a2,b2
4,3,1,3,3,0,5,0,0,1,1,1,11260,11259,5,,0,1,16565,16,16565,3313,5,10101,0,
4,3,7,0,0,0,7,2,2,1,1,1,13560,13559,7,,0,1,16571,16,16571,73,227,10101,0,
4,7,2,2,0,0,3,7,0,1,1,1,30004,30003,3,,0,1,16571,16,16571,227,73,10101,0,
4,1,8,2,0,0,9,5,0,1,1,1,5560,5559,9,,0,1,16579,16,16579,281,59,10101,0,
4,9,5,0,0,0,1,8,2,1,1,1,42448,42447,1,,0,1,16579,16,16579,59,281,10101,0,
4,7,2,5,5,0,3,0,0,1,1,1,22282,22281,3,,0,1,16581,16,16581,5527,3,10101,0,
4,3,5,0,0,0,3,1,3,1,1,1,12560,12559,3,,0,1,16589,16,16589,53,313,10101,0,
4,3,1,3,0,0,3,5,0,1,1,1,16671,16670,3,,0,1,16589,16,16589,313,53,10101,0,
4,3,5,3,0,0,7,4,0,1,1,1,15560,15559,7,,0,1,16591,16,16591,353,47,10101,0,
4,7,4,0,0,0,3,5,3,1,1,1,28115,28114,3,,0,1,16591,16,16591,47,353,10101,0,
4,1,3,5,5,0,3,0,0,1,1,1,60,59,3,,0,1,16593,16,16593,5531,3,10101,0,
4,9,1,3,3,0,5,0,0,1,1,1,77927,77926,5,,0,1,16595,16,16595,3319,5,10101,0,
4,1,7,3,2,0,7,0,0,1,1,1,27,26,7,,0,1,16597,16,16597,2371,7,10101,0,
4,1,6,7,0,0,3,2,0,1,1,1,2227,2226,3,,0,1,17503,17,17503,761,23,10101,0,
4,3,2,0,0,0,1,6,7,1,1,1,18559,18558,1,,0,1,17503,17,17503,23,761,10101,0,
4,1,1,2,0,0,3,8,0,1,1,1,8893,8892,3,,0,1,17513,17,17513,211,83,10101,0,
4,3,8,0,0,0,1,1,2,1,1,1,12449,12448,1,,0,1,17513,17,17513,83,211,10101,0,
4,9,3,8,5,0,3,0,0,1,1,1,33393,33392,3,,0,1,17517,17,17517,5839,3,10101,0,
4,3,0,5,2,0,7,0,0,1,1,1,11138,11137,7,,0,1,17521,17,17521,2503,7,10101,0,
4,1,3,0,1,0,7,1,0,1,1,1,1127,1126,7,,1,1,7527,7,17527,1031,17,10101,0,
4,3,4,8,5,0,3,0,0,1,1,1,11171,11170,3,,0,1,17529,17,17529,5843,3,10101,0,
4,3,7,3,0,0,7,4,0,1,1,1,15560,15559,7,,0,1,17531,17,17531,373,47,10101,0,
4,7,4,0,0,0,3,7,3,1,1,1,30337,30336,3,,0,1,17531,17,17531,47,373,10101,0,
4,7,9,1,0,0,9,8,0,1,1,1,31115,31114,9,,0,1,17533,17,17533,197,89,10101,0,
4,9,8,0,0,0,7,9,1,1,1,1,43448,43447,7,,0,1,17533,17,17533,89,197,10101,0,
4,1,3,3,0,0,3,5,0,1,1,1,5560,5559,3,,0,1,17543,17,17543,331,53,10101,0,
4,3,5,0,0,0,1,3,3,1,1,1,14782,14781,1,,0,1,17543,17,17543,53,331,10101,0,
4,9,4,8,5,0,3,0,0,1,1,1,33393,33392,3,,0,1,17547,17,17547,5849,3,10101,0,
4,1,5,8,5,0,3,0,0,1,1,1,60,59,3,,0,1,17553,17,17553,5851,3,10101,0,
4,1,1,5,3,0,5,0,0,1,1,1,260,259,5,,0,1,17555,17,17555,3511,5,10101,0,
4,1,8,1,0,0,7,9,0,1,1,1,10004,10003,7,,0,1,17557,17,17557,181,97,10101,0,
4,7,9,0,0,0,1,8,1,1,1,1,31226,31225,1,,0,1,17557,17,17557,97,181,10101,0,
4,3,3,0,1,0,7,1,0,1,1,1,12238,12237,7,,1,1,7561,7,17561,1033,17,10101,0,
4,7,9,5,1,0,1,1,0,1,1,1,23349,23348,1,,1,1,7567,7,17567,1597,11,10101,0,
4,7,5,8,5,0,3,0,0,1,1,1,22282,22281,3,,0,1,17571,17,17571,5857,3,10101,0,
4,1,6,8,5,0,3,0,0,1,1,1,60,59,3,,0,1,17583,17,17583,5861,3,10101,0,
4,7,1,5,3,0,5,0,0,1,1,1,66927,66926,5,,0,1,17585,17,17585,3517,5,10101,0,
